num_topics,alpha,eta,coherence_score
8,0.01,0.01,0.3475581682713675
8,0.01,0.31,0.3529279621349506
8,0.01,0.61,0.3464069200541685
8,0.01,0.9099999999999999,0.34674643154063844
8,0.01,symmetric,0.34239785888957874
8,0.31,0.01,0.3177446156102609
8,0.31,0.31,0.3245883356205265
8,0.31,0.61,0.32143673552320245
8,0.31,0.9099999999999999,0.318188419206592
8,0.31,symmetric,0.31952120762699415
8,0.61,0.01,0.33574314368728825
8,0.61,0.31,0.3290843332297025
8,0.61,0.61,0.3310040164846585
8,0.61,0.9099999999999999,0.33204240040090693
8,0.61,symmetric,0.33275448781410005
8,0.9099999999999999,0.01,0.33464949075211753
8,0.9099999999999999,0.31,0.3413181334155615
8,0.9099999999999999,0.61,0.33405180517759464
8,0.9099999999999999,0.9099999999999999,0.3312680912470176
8,0.9099999999999999,symmetric,0.3331401990361521
8,symmetric,0.01,0.34305749186973655
8,symmetric,0.31,0.3401847331205328
8,symmetric,0.61,0.34038758406138425
8,symmetric,0.9099999999999999,0.34942298218489093
8,symmetric,symmetric,0.3470053711279133
12,0.01,0.01,0.3395399714855399
12,0.01,0.31,0.3365435415197671
12,0.01,0.61,0.33165099854208885
12,0.01,0.9099999999999999,0.33925980190528227
12,0.01,symmetric,0.3362070862010542
12,0.31,0.01,0.3219275814990693
12,0.31,0.31,0.31997383301662347
12,0.31,0.61,0.3223958960962424
12,0.31,0.9099999999999999,0.31802322461970245
12,0.31,symmetric,0.3181299187125796
12,0.61,0.01,0.33211505637176947
12,0.61,0.31,0.3287636437921083
12,0.61,0.61,0.3304405230300421
12,0.61,0.9099999999999999,0.32817933624299933
12,0.61,symmetric,0.33342389121538407
12,0.9099999999999999,0.01,0.33585651041891584
12,0.9099999999999999,0.31,0.32360729995249843
12,0.9099999999999999,0.61,0.3259746179523193
12,0.9099999999999999,0.9099999999999999,0.3408474149253025
12,0.9099999999999999,symmetric,0.3239794864927703
12,symmetric,0.01,0.36210292776587405
12,symmetric,0.31,0.33848571464948096
12,symmetric,0.61,0.3569672091579253
12,symmetric,0.9099999999999999,0.3483172014843249
12,symmetric,symmetric,0.35194751650071976
16,0.01,0.01,0.32894321718538994
16,0.01,0.31,0.33578964338239403
16,0.01,0.61,0.33455791566589066
16,0.01,0.9099999999999999,0.33694018271782683
16,0.01,symmetric,0.3399130042816614
16,0.31,0.01,0.31933202719487
16,0.31,0.31,0.31023112038467743
16,0.31,0.61,0.3141419494239595
16,0.31,0.9099999999999999,0.3261621216358296
16,0.31,symmetric,0.3193698089498571
16,0.61,0.01,0.3208063019488005
16,0.61,0.31,0.333806103969245
16,0.61,0.61,0.31766579701808706
16,0.61,0.9099999999999999,0.3344322075418039
16,0.61,symmetric,0.3297630790270014
16,0.9099999999999999,0.01,0.3374168252040716
16,0.9099999999999999,0.31,0.33239237318587467
16,0.9099999999999999,0.61,0.31932452855586313
16,0.9099999999999999,0.9099999999999999,0.329956494689681
16,0.9099999999999999,symmetric,0.3424833506848894
16,symmetric,0.01,0.347153999662844
16,symmetric,0.31,0.3609460564205927
16,symmetric,0.61,0.34997131026923445
16,symmetric,0.9099999999999999,0.34572126355927246
16,symmetric,symmetric,0.3569900517476308
20,0.01,0.01,0.32987733533504604
20,0.01,0.31,0.3408892900293997
20,0.01,0.61,0.3366813843335325
20,0.01,0.9099999999999999,0.34265698179944926
20,0.01,symmetric,0.34308752811341403
20,0.31,0.01,0.3195407650249327
20,0.31,0.31,0.3223081081352247
20,0.31,0.61,0.32160207773385574
20,0.31,0.9099999999999999,0.3164818383240239
20,0.31,symmetric,0.3206446595260316
20,0.61,0.01,0.3357728021626077
20,0.61,0.31,0.322243989304724
20,0.61,0.61,0.3282958808445351
20,0.61,0.9099999999999999,0.3329060297126075
20,0.61,symmetric,0.3338256251683082
20,0.9099999999999999,0.01,0.3237432375906128
20,0.9099999999999999,0.31,0.33713401018719785
20,0.9099999999999999,0.61,0.3282278594515376
20,0.9099999999999999,0.9099999999999999,0.33393284004723256
20,0.9099999999999999,symmetric,0.32927405367941714
20,symmetric,0.01,0.351453786533119
20,symmetric,0.31,0.34447292523523443
20,symmetric,0.61,0.3516603899370487
20,symmetric,0.9099999999999999,0.36063931148477424
20,symmetric,symmetric,0.3507583258312609
